Accessibility and Convenience,Appointment Availability,Communication Effectiveness,Environment and Ambiance,Feedback and Complaints Handling,Follow-up and Continuity of Care,Mental Health Support,Patient Education and Information,Patient Respect,Prescriptions and Medication Management,Reception Staff Interaction,Staff Empathy and Compassion,Staff Professionalism,Surgery Website,Test Results,Treatment Quality,Vaccinations,Waiting Time,TOTAL
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,9
8,37,4,2,1,21,0,2,10,7,27,3,3,1,12,3,3,13,157
3,33,2,1,0,13,1,0,5,1,14,0,2,1,6,4,3,18,107
0,25,3,2,0,8,0,1,3,3,8,0,0,0,12,4,0,5,74
0,2,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,9
