Accessibility and Convenience,Appointment Availability,Communication Effectiveness,Environment and Ambiance,Feedback and Complaints Handling,Follow-up and Continuity of Care,Mental Health Support,Patient Education and Information,Patient Respect,Prescriptions and Medication Management,Reception Staff Interaction,Staff Empathy and Compassion,Staff Professionalism,Surgery Website,Test Results,Treatment Quality,Vaccinations,Waiting Time
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111
0.050955414012738856,0.2356687898089172,0.025477707006369428,0.012738853503184714,0.006369426751592357,0.1337579617834395,0.0,0.012738853503184714,0.06369426751592357,0.044585987261146494,0.17197452229299362,0.01910828025477707,0.01910828025477707,0.006369426751592357,0.07643312101910828,0.01910828025477707,0.01910828025477707,0.08280254777070063
0.028037383177570093,0.308411214953271,0.018691588785046728,0.009345794392523364,0.0,0.12149532710280374,0.009345794392523364,0.0,0.04672897196261682,0.009345794392523364,0.1308411214953271,0.0,0.018691588785046728,0.009345794392523364,0.056074766355140186,0.037383177570093455,0.028037383177570093,0.16822429906542055
0.0,0.33783783783783783,0.04054054054054054,0.02702702702702703,0.0,0.10810810810810811,0.0,0.013513513513513514,0.04054054054054054,0.04054054054054054,0.10810810810810811,0.0,0.0,0.0,0.16216216216216217,0.05405405405405406,0.0,0.06756756756756757
0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
